material entropic redshift and the rsvp stack	Material: Entropic Redshift and the RSVP Stack	citation-only	1	standardgalactic/alphabet/projects/entropic-redshift-supplement.tex
redshift and the rsvp stack a unified field ontology for cosmology cognition and institutions	Redshift and the RSVP Stack: A Unified Field Ontology for Cosmology, Cognition, and Institutions	citation-only	1	standardgalactic/alphabet/projects/entropic-redshift.tex
the superuser guide to latex	The Superuser Guide to LaTeX	citation-only	2	standardgalactic/memory/processing/main.tex
the technological society as a pop optimizing regime ellul s structural thesis and the playcosm bridge	The Technological Society as a Pop-Optimizing Regime: Ellul's Structural Thesis and the Playcosm Bridge	citation-only	1	standardgalactic/research-projects/ellul-intro.tex
normalized_title	display_title	classification	occurrences	example
a monograph on constraint displacement and the structure of physical reality 1 5ex energy as contradiction 1ex constraint propagation the mortality of resolution and the ontology of unfinished physics	% A Monograph on Constraint, Displacement, and the Structure of Physical Reality [1.5ex] Energy as Contradiction [1ex] Constraint Propagation, the Mortality of Resolution, and the Ontology of Unfinished Physics	draft	1	standardgalactic/library/physics/energy_as_contradiction.tex
admissibility geometry and the mond transition 0 4em reconstruction obstruction as an alternative to dark matter	% Admissibility Geometry and the MOND Transition [0.4em] Reconstruction Obstruction as an Alternative to Dark Matter	draft	3	standardgalactic/alphabet/physics/cosmology/admissible-geometry.tex
spherepop as an entropy decreasing rewriting category axiomatic foundations functorial geometry and the rsvp embedding	% Spherepop as an Entropy-Decreasing Rewriting Category: Axiomatic Foundations, Functorial Geometry, and the RSVP Embedding	draft	1	standardgalactic/spherepop/working/Structured Irreversibility - draft 01.tex
the flyxion dependency atlas 0 4em definitions theorems machinery applications and equivalence candidates across the corpus	% The Flyxion Dependency Atlas [0.4em] Definitions, Theorems, Machinery, Applications, and Equivalence Candidates Across the Corpus	draft	1	standardgalactic/computation/abstraction/flyxion_atlas.tex
the relativistic scalar vector plenum constraint history and entropy in a non expanding universe	% The Relativistic Scalar--Vector Plenum Constraint, History, and Entropy in a Non-Expanding Universe	draft	2	standardgalactic/research-projects/RSVP-Theory.tex
volume 0 0 5em consistency document 0 3em canonical symbols proof sketches equivalence briefs and the master claim formalization 1em fifteen volume curriculum pre publication archive	% Volume 0 [0.5em] Consistency Document [0.3em] Canonical Symbols, Proof Sketches, Equivalence Briefs, and the Master Claim Formalization [1em] Fifteen-Volume Curriculum --- Pre-Publication Archive	draft	1	standardgalactic/computation/abstraction/volume_zero.tex
ai minds decoded the math linking brains and machines	AI Minds Decoded: The Math Linking Brains and Machines	draft	1	standardgalactic/alphabet/document/draft/autoregression.tex
abstraction as reduction a unified account of evaluation structure and proof	Abstraction as Reduction: A Unified Account of Evaluation, Structure, and Proof	draft	2	standardgalactic/alphabet/Abstraction as Reduction.tex
abstraction as reduction philosophical version	Abstraction as Reduction: Philosophical Version	draft	1	standardgalactic/alphabet/processing/abstraction-draft-04.tex
admissibility and the structure of physical symmetry from groups to groupoids	Admissibility and the Structure of Physical Symmetry: From Groups to Groupoids	draft	1	standardgalactic/antivenom/essay/admissibility_groupoids.tex
aesthetic saturation and the erosion of voluntary attention in algorithmic social media	Aesthetic Saturation and the Erosion of Voluntary Attention in Algorithmic Social Media	draft	2	standardgalactic/antivenom/Aesthetic Saturation.tex
axial holonomy and visibility weighted coherence cosmic birefringence in the relativistic scalar vector plenum	Axial Holonomy and Visibility-Weighted Coherence: Cosmic Birefringence in the Relativistic Scalar--Vector Plenum	draft	1	standardgalactic/kitbash/cosmology/Axial Holonomy - draft 01.tex
axial holonomy and visibility weighted coherence 4pt cosmic birefringence in the relativistic scalar vector plenum	Axial Holonomy and Visibility-Weighted Coherence: [4pt] Cosmic Birefringence in the Relativistic Scalar--Vector Plenum	draft	2	standardgalactic/kitbash/cosmology/Axial Holonomy - draft 02.tex
beyond optimal foraging	Beyond Optimal Foraging	draft	1	peterlodri-sec/vim-philosophy/papers/beyond-optimal-foraging/beyond-optimal-foraging.tex
beyond prediction error toward an ecological and topological theory of cognition	Beyond Prediction Error: Toward an Ecological and Topological Theory of Cognition	draft	1	standardgalactic/alphabet/framework/beyond_prediction_error.tex
bootstrapping utopia 0 5em a constraint first blueprint for civilizational persistence	Bootstrapping Utopia 0.5em A Constraint-First Blueprint for Civilizational Persistence	draft	1	standardgalactic/alphabet/processing/Bootstrapping Utopia.tex
